id,name,mincash,maxcash,avgcoin,done,min_expansion,max_expansion,content_flags,content_flags_disabled
490,Kalayia_Woodwhisper,0,0,0,0,-1,-1,NULL,NULL
545,Mroon,1,5000,0,0,-1,-1,NULL,NULL
546,Narra_Tanith,1,2500,500,0,-1,-1,NULL,NULL
548,Ashenpaw,0,0,0,0,-1,-1,NULL,NULL
550,Bristletoe,0,0,0,0,-1,-1,NULL,NULL
553,Lockjaw,0,0,0,0,-1,-1,NULL,NULL
556,Tae_Ew_Diviner,1,3000,1000,0,-1,-1,NULL,NULL
561,A_Shady_Mercenary,1,50,7,0,-1,-1,NULL,NULL
566,Gabbie_Mardoddle,682,4523,0,0,-1,-1,NULL,NULL
591,Lord_Gongo,0,0,0,0,-1,-1,NULL,NULL
592,Jo_Jo,0,0,0,0,-1,-1,NULL,NULL
594,#Morley_Murrain,1,3000,1000,0,-1,-1,NULL,NULL
602,Guano_Harvester,1,2000,250,0,-1,-1,NULL,NULL
607,A_Luminii_Crawler,0,0,0,1,-1,-1,NULL,NULL
614,Quillmane,1,3000,1000,0,-1,-1,NULL,NULL
616,Callowwing,1,2000,250,0,-1,-1,NULL,NULL
700,A_Drachnid_Widow,770,5104,0,1,-1,-1,NULL,NULL
720,Undead_Crusader,0,0,0,0,-1,-1,NULL,NULL
927,Korvik_the_Cursed,1,1000,50,0,-1,-1,NULL,NULL
964,Yymp_the_Infernal,0,0,0,0,-1,-1,NULL,NULL
974,Dark_Elf_Corruptor,0,0,0,0,-1,-1,NULL,NULL
983,"fearplane Wraith_of_a_Shissar",1188,7863,0,0,-1,-1,NULL,NULL
984,Cauldronboil,500,7000,0,1,-1,-1,NULL,NULL
1031,"potorment Saryrn",0,0,0,1,-1,-1,NULL,NULL
1055,A_Deathly_Harbinger,748,4959,0,1,-1,-1,NULL,NULL
1061,"ponightmare a_misery_mephit",0,0,0,1,-1,-1,NULL,NULL
1062,"ponightmare a_mephit",0,0,0,1,-1,-1,NULL,NULL
1075,Grazhak_the_Berzerker,0,0,0,0,-1,-1,NULL,NULL
1080,"PoStorms forest mini bosses",0,0,0,0,-1,-1,NULL,NULL
1082,"PoStorms bridge guards melee",0,0,0,1,-1,-1,NULL,NULL
1083,"PoStorms Faruek_the_Bold",0,0,0,1,-1,-1,NULL,NULL
1085,"PoStorms desert mini bosses",0,0,0,1,-1,-1,NULL,NULL
1094,Solusek_Kobold_King,902,5975,0,0,-1,-1,NULL,NULL
1097,Stone_Spider,1000,6000,0,0,-1,-1,NULL,NULL
1164,Cauldronbubble,500,7000,0,1,-1,-1,NULL,NULL
1266,"hateplane A_Spite_Golem",1100,7282,0,1,-1,-1,NULL,NULL
1280,"hateplane An_Abhorrent",1056,6992,0,1,-1,-1,NULL,NULL
1336,Brutol_Rhaksen,1320,8734,0,1,-1,-1,NULL,NULL
1337,Sir_Breel,1,3000,1000,0,-1,-1,NULL,NULL
1342,Sir_Shalint,748,4959,0,0,-1,-1,NULL,NULL
1351,Sir_Fosco,1,2500,500,1,-1,-1,NULL,NULL
1354,Sir_Mollin,1,3000,1000,1,-1,-1,NULL,NULL
1357,Sir_Willam,858,5685,0,1,-1,-1,NULL,NULL
1358,Sir_Drolfis,880,5830,0,1,-1,-1,NULL,NULL
1391,Guard_Gehnus,1078,7137,0,0,-1,-1,NULL,NULL
1431,Gunex_Eklar,1320,8734,0,0,-1,-1,NULL,NULL
1436,Argyn_Shieldstan,1,3000,1000,1,-1,-1,NULL,NULL
1439,Arrias_Arcanum,858,5685,0,1,-1,-1,NULL,NULL
1443,Edwardian_Holyblade,1320,8734,0,0,-1,-1,NULL,NULL
1505,A_Ghoul,1,1000,50,1,-1,-1,NULL,NULL
1522,Shadow_Treebright,1,3000,1000,1,-1,-1,NULL,NULL
1532,freeportguard,1,2000,250,0,-1,-1,NULL,NULL
1557,Brina_Foxtripper,1320,8734,0,1,-1,-1,NULL,NULL
1596,Ged_Twigborn,1,2500,500,1,-1,-1,NULL,NULL
1598,Skeleton_Trooper,1,3000,1000,0,-1,-1,NULL,NULL
1617,Orc_Weaponsmith,1,500,25,0,-1,-1,NULL,NULL
1657,A_Gnoll_Hunter,1,50,7,0,-1,-1,NULL,NULL
1659,A_Lesser_Minotaur,1,500,25,1,-1,-1,NULL,NULL
1696,Jail_Clerk_Maryl,858,5685,0,1,-1,-1,NULL,NULL
1697,A_Skeletal_Foreman,0,0,0,0,-1,-1,NULL,NULL
1703,Tyrana_Slil,638,4233,0,1,-1,-1,NULL,NULL
1720,Kelynn,1,500,25,1,-1,-1,NULL,NULL
1726,Jimble_Woodentoe,1,1000,50,1,-1,-1,NULL,NULL
1727,Raenna_Griff,1,1000,50,1,-1,-1,NULL,NULL
1731,Tarsa_Yovar,1,1000,50,1,-1,-1,NULL,NULL
1732,Grennet_Stormhand,1,1000,50,1,-1,-1,NULL,NULL
1819,Lesser_Blade_Fiend,0,0,0,0,-1,-1,NULL,NULL
1836,Timtok_Tonsmith,1,3000,1000,1,-1,-1,NULL,NULL
1867,Sandgiant_Husam,1000,56200,0,0,-1,-1,NULL,NULL
1898,"cazicthule A_Tae_Ew_fanatic",0,0,0,1,-1,-1,NULL,NULL
1900,"cazicthule A_Tae_Ew_judicator",0,0,0,1,-1,-1,NULL,NULL
1908,Rilca_Leafrunner,748,4959,0,1,-1,-1,NULL,NULL
1913,Synger_Foxfyre,1,3000,1000,0,-1,-1,NULL,NULL
1931,Maareq_the_Prophet,0,0,0,1,-1,-1,NULL,NULL
1958,An_Ashenbone_Drake,1100,7282,0,1,-1,-1,NULL,NULL
1999,"podisease #Grummus",0,0,0,1,-1,-1,NULL,NULL
2064,Mujaki_the_Devourer,0,0,0,0,-1,-1,NULL,NULL
2083,"potactics Tallon_Zek",0,0,0,1,-1,-1,NULL,NULL
2090,#Zlexak,1430,9460,0,1,-1,-1,NULL,NULL
2091,#Cekenar,1430,9460,0,1,-1,-1,NULL,NULL
2173,Zhem_Xecia,1320,8734,0,0,-1,-1,NULL,NULL
2176,Perrir_Zexus,1320,8734,0,1,-1,-1,NULL,NULL
2181,Captain_Hazran,1320,8734,0,1,-1,-1,NULL,NULL
2182,Sentry_Janeal,1,3000,1000,1,-1,-1,NULL,NULL
2183,Sentry_Boris,704,4668,0,1,-1,-1,NULL,NULL
2184,Sentry_Meighan,726,4814,0,1,-1,-1,NULL,NULL
2185,Sentry_Andlin,748,4959,0,0,-1,-1,NULL,NULL
2188,Sentry_Theo,792,5249,0,1,-1,-1,NULL,NULL
2189,Palious_Jarten,1320,8734,0,0,-1,-1,NULL,NULL
2191,Tholius_Quey,1320,8734,0,1,-1,-1,NULL,NULL
2207,#Moldrak_Drin,1,2500,500,0,-1,-1,NULL,NULL
2208,Yovik_Splegle,1,1000,50,1,-1,-1,NULL,NULL
2261,Marik_Clubthorn,1,2000,250,0,-1,-1,NULL,NULL
2265,Webclaw_Murkwave,1,2500,500,0,-1,-1,NULL,NULL
2266,A_Silvered_Tae_Ew_Observer,1,3000,1000,1,-1,-1,NULL,NULL
2308,An_Ire_Ghast,1078,7137,0,0,-1,-1,NULL,NULL
2311,Hreidar_Lynhillig,0,0,0,1,-1,-1,NULL,NULL
2312,Shadow_Master_Vinta,0,0,0,1,-1,-1,NULL,NULL
2314,"pofire castle 2 flamehead named",0,0,0,0,-1,-1,NULL,NULL
2317,Agnarr_the_Storm_Lord,0,0,0,1,-1,-1,NULL,NULL
2420,Alchemist_Valrona,0,10000,0,1,-1,-1,NULL,NULL
2520,Elisi_Nasin,1320,8734,0,1,-1,-1,NULL,NULL
2521,Geeda,1320,8734,0,1,-1,-1,NULL,NULL
2533,A_Black_Mamba,0,0,0,1,-1,-1,NULL,NULL
2539,Vicus_Nonad,1,3000,1000,1,-1,-1,NULL,NULL
2541,Pyzjn,1,1000,50,1,-1,-1,NULL,NULL
2544,Canlan_Talespinner,1,1000,50,1,-1,-1,NULL,NULL
2551,Lon_the_Redeemed,968,6411,0,1,-1,-1,NULL,NULL
2558,"ponightmare a_slarghilug",0,0,0,1,-1,-1,NULL,NULL
2564,Larkin_Tolman,1,1000,50,1,-1,-1,NULL,NULL
2593,Rallius_Rattican,0,0,0,1,-1,-1,NULL,NULL
2604,"PoStorms cactus mobs",0,0,0,1,-1,-1,NULL,NULL
2627,Crookstinger,0,0,0,0,-1,-1,NULL,NULL
2628,Barnacle_Bones,1,2000,250,0,-1,-1,NULL,NULL
2634,Ryleen_Bladespur,682,4523,0,1,-1,-1,NULL,NULL
2697,An_Ancient_Guardian,0,0,0,1,-1,-1,NULL,NULL
2812,Zhaoku,0,0,0,0,-1,-1,NULL,NULL
2823,A_Sweltering_Mephit,0,0,0,0,-1,-1,NULL,NULL
2824,Magmaton,0,0,0,0,-1,-1,NULL,NULL
2857,Brother_Balatin,594,3942,0,0,-1,-1,NULL,NULL
2873,An_Explorer,1,3000,1000,1,-1,-1,NULL,NULL
2880,Rell_Ostodl,1,500,25,0,-1,-1,NULL,NULL
2927,Shak_Dathor_Warlord,0,0,0,1,-1,-1,NULL,NULL
2960,Coloth_Meadowgreen,748,4959,0,0,-1,-1,NULL,NULL
2971,A_Lteth_Val_Scribe,1,3000,1000,1,-1,-1,NULL,NULL
2974,Aerin`Dar,0,0,0,1,-1,-1,NULL,NULL
2982,"cazicthule A_Thul_Tae_Ew_Judicator",0,0,0,1,-1,-1,NULL,NULL
2984,Greshvoule,748,4959,0,1,-1,-1,NULL,NULL
2991,"poinnovation A_Corroded_Prototype",0,0,0,1,-1,-1,NULL,NULL
3005,The_Keeper_of_Sorrows,0,0,0,1,-1,-1,NULL,NULL
3007,Tagrin_Maldric,0,0,0,1,-1,-1,NULL,NULL
3008,The_Seventh_Hammer,0,0,0,1,-1,-1,NULL,NULL
3015,#The_Deathrot_Knight,1408,9315,0,1,-1,-1,NULL,NULL
3019,#Nyrein_the_Beguiled,1122,7427,0,1,-1,-1,NULL,NULL
3020,Anumnan_Dathry,1078,7137,0,1,-1,-1,NULL,NULL
3022,Drayen_Blackguard,1078,7137,0,1,-1,-1,NULL,NULL
3059,A_Giant_Sewer_Rat,0,0,0,1,-1,-1,NULL,NULL
3063,A_Greater_Minotaur,682,4523,0,1,-1,-1,NULL,NULL
3098,A_Sewer_Rat,0,0,0,1,-1,-1,NULL,NULL
3122,"poinnovation An_Obsolete_Model",0,0,0,1,-1,-1,NULL,NULL
3124,"poinnovation An_Archaic_Model",0,0,0,1,-1,-1,NULL,NULL
3125,"poinnovation A_Scrounging_Clockwork",0,0,0,1,-1,-1,NULL,NULL
3126,"poinnovation A_Scrap_Collector",0,0,0,1,-1,-1,NULL,NULL
3127,"poinnovation A_Metallic_Slime",0,0,0,1,-1,-1,NULL,NULL
3129,"poinnovation A_Defective_Clockwork",0,0,0,1,-1,-1,NULL,NULL
3134,The_Ice_Witch,1078,7137,0,1,-1,-1,NULL,NULL
3137,Arlyxir,0,0,0,0,-1,-1,NULL,NULL
3164,"ponightmare a_tar`dak_hunter",0,0,0,1,-1,-1,NULL,NULL
3165,Arch_Mage_Yozanni,0,0,0,0,-1,-1,NULL,NULL
3168,The_Acolyte_of_Affliction,0,0,0,1,-1,-1,NULL,NULL
3175,"BoT strong jords",0,0,0,1,-1,-1,NULL,NULL
3179,Rorek_Steelthorn,0,0,0,0,-1,-1,NULL,NULL
3180,Ymir_Stormseer,0,0,0,0,-1,-1,NULL,NULL
3181,Thorolf_Sutherland,0,0,0,0,-1,-1,NULL,NULL
3182,"BoT strong branns",0,0,0,1,-1,-1,NULL,NULL
3183,"BoT weak branns",0,0,0,1,-1,-1,NULL,NULL
3187,"BoT weak vanns",0,0,0,1,-1,-1,NULL,NULL
3189,"BoT strong vanns",0,0,0,1,-1,-1,NULL,NULL
3192,"BoT weak vinds",0,0,0,1,-1,-1,NULL,NULL
3199,Valbrand,0,0,0,1,-1,-1,NULL,NULL
3200,Gaukr_Sandstorm,0,0,0,1,-1,-1,NULL,NULL
3201,A_Prismatic_Basilisk,0,0,0,0,-1,-1,NULL,NULL
3202,"PoTime phase 1 bosses",0,0,0,0,-1,-1,NULL,NULL
3212,A_Radiant_Guardian,0,0,0,0,-1,-1,NULL,NULL
3213,Oreen_Wavecrasher,0,0,0,1,-1,-1,NULL,NULL
3214,Babnoxis_the_Spider_Queen,0,0,0,0,-1,-1,NULL,NULL
3217,"ponightmare a_hobgoblin",0,0,0,1,-1,-1,NULL,NULL
3219,Queen_Silandria,0,0,0,0,-1,-1,NULL,NULL
3220,"CoDecay Bertoxxulous",0,0,0,0,-1,-1,NULL,NULL
3222,General_Druav_Flamesinger,0,0,0,0,-1,-1,NULL,NULL
3224,Solusek_Ro,0,0,0,0,-1,-1,NULL,NULL
3226,Freegan_Haun,0,0,0,0,-1,-1,NULL,NULL
3227,Bishop_Toluwon,0,0,0,0,-1,-1,NULL,NULL
3228,Hydrotha,0,0,0,0,-1,-1,NULL,NULL
3229,A_Pristine_Gem_Golem,0,0,0,0,-1,-1,NULL,NULL
3231,Bubonian_Death_Caster,0,0,0,1,-1,-1,NULL,NULL
3232,The_Diaku_Armorer,0,0,0,0,-1,-1,NULL,NULL
3234,"Manaetic Prototypes",0,0,0,0,-1,-1,NULL,NULL
3237,Brynju_Thunderclap,0,0,0,1,-1,-1,NULL,NULL
3238,Manaetic_Behemoth,0,0,0,0,-1,-1,NULL,NULL
3239,Hinvat_Deathbringer,0,0,0,1,-1,-1,NULL,NULL
3241,"poinnovation A_Rusted_Model",0,0,0,1,-1,-1,NULL,NULL
3243,"solrotower A_Flare_Mephit",0,0,0,0,-1,-1,NULL,NULL
3244,Gakamenial_Fir`Disralsi,0,0,0,0,-1,-1,NULL,NULL
3246,"ponightmare a_ravenous_nightstalker",0,0,0,1,-1,-1,NULL,NULL
3248,Captain_Danon_Shern,0,0,0,0,-1,-1,NULL,NULL
3249,Raex_Pwodill,0,0,0,0,-1,-1,NULL,NULL
3264,A_Woodland_Lion,0,0,0,0,-1,-1,NULL,NULL
3269,A_Black_Bear,0,0,0,1,-1,-1,NULL,NULL
3314,A_Young_Plains_Cat,0,0,0,1,-1,-1,NULL,NULL
3348,High_Chief_Fosloas,1,1000,50,1,-1,-1,NULL,NULL
3350,High_Chief_Kellerus,1,1000,50,1,-1,-1,NULL,NULL
3351,Guard_Teridsan,1,1000,50,1,-1,-1,NULL,NULL
3354,The_Sleep_Walker,0,0,0,1,-1,-1,NULL,NULL
3355,"pofire castle 2 djinn named",0,0,0,0,-1,-1,NULL,NULL
3513,An_Air_Elemental,1,500,25,1,-1,-1,NULL,NULL
3515,Cyanelle,1,2500,500,1,-1,-1,NULL,NULL
3537,A_Goblin,1,50,7,1,-1,-1,NULL,NULL
3575,A_Zol_Ghoul_Knight,814,5394,0,1,-1,-1,NULL,NULL
3631,A_Mummy,1,1200,0,0,-1,-1,NULL,NULL
3657,Milla,1,1000,50,0,-1,-1,NULL,NULL
3683,"pojustice Sentry_of_Justice",0,0,0,1,-1,-1,NULL,NULL
3684,"pojustice High_Guardian_of_Justice",0,0,0,1,-1,-1,NULL,NULL
3691,"potorment Boruks 2",0,0,0,1,-1,-1,NULL,NULL
3692,"potorment Kaniz 2",0,0,0,1,-1,-1,NULL,NULL
3695,"potorment A_Blood_Raven",0,0,0,1,-1,-1,NULL,NULL
3699,"potorment mouth mobs",0,0,0,1,-1,-1,NULL,NULL
3705,A_Storm_Watcher,0,0,0,1,-1,-1,NULL,NULL
3711,A_Triloun_Champion,0,0,0,0,-1,-1,NULL,NULL
3714,"water mephits",0,0,0,0,-1,-1,NULL,NULL
3720,"powater crabs 1",0,0,0,0,-1,-1,NULL,NULL
3721,A_Fearsome_Earthcrafter,0,0,0,0,-1,-1,NULL,NULL
3722,"pofire fiends",0,0,0,0,-1,-1,NULL,NULL
3726,A_Horrifying_Vision,0,0,0,1,-1,-1,NULL,NULL
3731,"povalor 65-66 knight A_Valorian_Guard",0,0,0,1,-1,-1,NULL,NULL
3922,Imperial_Crypt_Guardian,1144,7572,0,1,-1,-1,NULL,NULL
3930,Zalerez,748,4959,0,1,-1,-1,NULL,NULL
4028,Soblohg,1,2500,500,0,-1,-1,NULL,NULL
4089,"pojustice Gaoler_of_Justice",0,0,0,1,-1,-1,NULL,NULL
4097,"ponightmare a_nightstalker",0,0,0,1,-1,-1,NULL,NULL
4098,A_Protector_of_Ro,0,0,0,0,-1,-1,NULL,NULL
4099,A_Stormrider,0,0,0,1,-1,-1,NULL,NULL
4101,General_Reparm,0,0,0,0,-1,-1,NULL,NULL
4111,"pofire fennin trash flameheads",0,0,0,0,-1,-1,NULL,NULL
4153,Froglok_Berserker,1,2500,500,0,-1,-1,NULL,NULL
4193,Togahn_Sorast,1320,8734,0,1,-1,-1,NULL,NULL
4195,#Brother_Qwinn,1320,8734,0,0,-1,-1,NULL,NULL
4199,Ran`Un,748,4959,0,0,-1,-1,NULL,NULL
4206,An_Injured_Rat,0,0,0,0,-1,-1,NULL,NULL
4207,A_Nesting_Rat,0,0,0,0,-1,-1,NULL,NULL
4209,"podisease Aramin_the_Spider_Guardian",0,0,0,1,-1,-1,NULL,NULL
4210,Priest_Of_Discord,1078,7137,0,1,-1,-1,NULL,NULL
4229,High_Mystic_Qucosp,0,0,0,0,-1,-1,NULL,NULL
4230,Spinflint,0,0,0,0,-1,-1,NULL,NULL
4246,Tantisala_Jaggedtooth,0,0,0,0,-1,-1,NULL,NULL
4247,An_Ancient_Vekerchiki_Champion,0,0,0,0,-1,-1,NULL,NULL
4249,Kuanbyr_Hailstorm,0,0,0,1,-1,-1,NULL,NULL
4250,Xegony_the_Queen_of_Air,0,0,0,0,-1,-1,NULL,NULL
4251,Greater_Corrupted_Pusling,0,0,0,1,-1,-1,NULL,NULL
4252,Greater_Foul_Pusling,0,0,0,1,-1,-1,NULL,NULL
4258,Coirnav_the_Avatar_of_Water,0,0,0,0,-1,-1,NULL,NULL
4296,Ghanex_Drah,1,1000,50,0,-1,-1,NULL,NULL
4307,"hohonora guardian",0,0,0,1,-1,-1,NULL,NULL
4318,Miner_Bordakn,814,5394,0,0,-1,-1,NULL,NULL
4319,Overseer_Miklek,858,5685,0,0,-1,-1,NULL,NULL
4355,Avhi_Escron,0,0,0,0,-1,-1,NULL,NULL
4404,Findlegrob,1,2500,500,1,-1,-1,NULL,NULL
4415,Verina_Tomb,0,0,0,1,-1,-1,NULL,NULL
4420,Jiva,0,0,0,0,-1,-1,NULL,NULL
4443,Ta`Grusch_the_Abomination,0,0,0,1,-1,-1,NULL,NULL
4446,Clazxiss,100,540,0,0,-1,-1,NULL,NULL
4449,Gromlok,682,4523,0,0,-1,-1,NULL,NULL
4451,Grioihin_the_Wise,0,0,0,0,-1,-1,NULL,NULL
4452,#An_Enraged_War_Boar,0,0,0,0,-1,-1,NULL,NULL
4453,"potimeb Cazic_Thule",0,0,0,0,-1,-1,NULL,NULL
4459,Yulcabis,1,1000,50,1,-1,-1,NULL,NULL
4460,Donlix_Bonkle,1,500,25,1,-1,-1,NULL,NULL
4461,Jibble_Blexnik,1,500,25,1,-1,-1,NULL,NULL
4462,Vyntok_Bonkle,1,1000,50,1,-1,-1,NULL,NULL
4464,A_Valorian_Sentry,0,0,0,1,-1,-1,NULL,NULL
4466,Elif_Whitewind,0,0,0,1,-1,-1,NULL,NULL
4467,Erech_Eyford,0,0,0,0,-1,-1,NULL,NULL
4468,Chancellor_Kirta,0,0,0,0,-1,-1,NULL,NULL
4469,Omni_Magus_Crato,0,0,0,0,-1,-1,NULL,NULL
4471,Chancellor_Traxom,0,0,0,0,-1,-1,NULL,NULL
4472,"ponightmare Vhaksiz_the_Shade",0,0,0,1,-1,-1,NULL,NULL
4478,Peregrin_Rockskull,0,0,0,0,-1,-1,NULL,NULL
4479,A_Monsterous_Mudwalker,0,0,0,0,-1,-1,NULL,NULL
4480,Jaxoliz_Dawneyes,0,0,0,0,-1,-1,NULL,NULL
4502,A_Goblin_Traitor,858,5685,0,1,-1,-1,NULL,NULL
4505,"pojustice kos prisoners",0,0,0,1,-1,-1,NULL,NULL
4507,"powater named kraken",0,0,0,0,-1,-1,NULL,NULL
4512,"PoStorms floralings",0,0,0,1,-1,-1,NULL,NULL
4513,"PoStorms wind compound melee",0,0,0,1,-1,-1,NULL,NULL
4514,"PoStorms war rog jotna",0,0,0,1,-1,-1,NULL,NULL
4515,"PoStorms An_Irmin_Her_Megir",0,0,0,1,-1,-1,NULL,NULL
4516,"PoStorms rog An_Irmin_Fannsk",0,0,0,1,-1,-1,NULL,NULL
4529,Maestro_Of_Rancor,1144,7572,0,1,-1,-1,NULL,NULL
4536,#Faydedar,1166,7718,0,0,-1,-1,NULL,NULL
4574,Throkkok,0,0,0,0,-1,-1,NULL,NULL
4584,Riggin_Vix,1,2000,250,1,-1,-1,NULL,NULL
4628,Knight_Dragol,968,6411,0,0,-1,-1,NULL,NULL
4642,"veeshan A_Guardian_Wurm",0,0,0,1,-1,-1,NULL,NULL
4677,Divn_L`Crit,968,6411,0,1,-1,-1,NULL,NULL
4693,Wraith_of_Retribution,0,0,0,1,-1,-1,NULL,NULL
4716,War_Chieftan_Dorwikak,0,0,0,0,-1,-1,NULL,NULL
4746,Dustback,1,2500,500,1,-1,-1,NULL,NULL
4747,Stonegrinder,1,2500,500,0,-1,-1,NULL,NULL
4748,Gemeye,1,3000,1000,0,-1,-1,NULL,NULL
4749,Eboneyes,726,4814,0,0,-1,-1,NULL,NULL
4751,Blugtigin,1,3000,1000,0,-1,-1,NULL,NULL
4752,Varithyx,1,2500,500,0,-1,-1,NULL,NULL
4753,Slithinis,594,3942,0,0,-1,-1,NULL,NULL
4754,Klok_Denris,1034,6846,0,0,-1,-1,NULL,NULL
4756,Keeper_Lasnik,968,6411,0,0,-1,-1,NULL,NULL
4822,Shevra_Kollintar,1320,8734,0,1,-1,-1,NULL,NULL
4823,Quavonis_Firetail,0,0,0,0,-1,-1,NULL,NULL
4865,Shintl_Lowbrew,1,500,25,1,-1,-1,NULL,NULL
4879,Rondo_Dunfire,1,500,25,1,-1,-1,NULL,NULL
4885,Ratraz,1,2000,250,1,-1,-1,NULL,NULL
4898,Slaythe_the_Slayer,682,4523,0,0,-1,-1,NULL,NULL
4906,A_Tiny_Skeleton,0,0,0,0,-1,-1,NULL,NULL
4962,A_Froglok_Escort,0,0,0,1,-1,-1,NULL,NULL
4988,"ponightmare a_vexed_banshee",0,0,0,1,-1,-1,NULL,NULL
4989,"povalor 61 An_Undead_Vassal",0,0,0,1,-1,-1,NULL,NULL
5032,Leatherfoot_Captain,1,500,25,1,-1,-1,NULL,NULL
5035,A_Young_Ronin,1,1000,50,1,-1,-1,NULL,NULL
5037,Boogoog,1,2500,500,1,-1,-1,NULL,NULL
5048,Iksar_Pariah,1,2000,250,1,-1,-1,NULL,NULL
5089,A_Greedy_Beggar,1,25,3,1,-1,-1,NULL,NULL
5102,Guide_V,1,3000,1000,1,-1,-1,NULL,NULL
5103,Guide_VI,682,4523,0,0,-1,-1,NULL,NULL
5104,Guide_II,616,4088,0,1,-1,-1,NULL,NULL
5107,Guide_I,1,3000,1000,0,-1,-1,NULL,NULL
5131,Rongol,1,50,7,1,-1,-1,NULL,NULL
5132,Anderia,1,50,7,1,-1,-1,NULL,NULL
5171,Raz_The_Rat_Misk,1,50,7,1,-1,-1,NULL,NULL
5192,Clockwork_Scrubber,0,0,0,1,-1,-1,NULL,NULL
5194,Marus_Kemson,1320,8734,0,0,-1,-1,NULL,NULL
5196,Baenar_Swiftsong,1078,7137,0,1,-1,-1,NULL,NULL
5197,Fabian,1,2500,500,1,-1,-1,NULL,NULL
5217,A_Fish,0,0,0,0,-1,-1,NULL,NULL
5228,Zigg_Flin,1,2500,500,1,-1,-1,NULL,NULL
5230,Djerr_Darkpaw,1,50,7,1,-1,-1,NULL,NULL
5238,A_Large_Spider,0,0,0,1,-1,-1,NULL,NULL
5284,A_Rock_Snake,0,0,0,1,-1,-1,NULL,NULL
5291,A_Large_Snake,0,0,0,1,-1,-1,NULL,NULL
5306,A_Stonesnake,0,0,0,1,-1,-1,NULL,NULL
5394,A_Sludge_Spiderling,0,0,0,1,-1,-1,NULL,NULL
5397,Taldrik_Stumpystout,1320,8734,0,1,-1,-1,NULL,NULL
5444,Gnawfang,0,0,0,0,-1,-1,NULL,NULL
5486,A_Froglok_Slave,1,50,7,1,-1,-1,NULL,NULL
5517,Froglok_Impaler,1,2500,500,0,-1,-1,NULL,NULL
5537,Stump_Rundl,1,1000,50,1,-1,-1,NULL,NULL
5538,Bunk_Odon,1,1000,50,0,-1,-1,NULL,NULL
5541,Sylp_Tyanathin,1,500,25,0,-1,-1,NULL,NULL
5551,Retlon_Brenclog,1,2000,250,1,-1,-1,NULL,NULL
5552,Bindlegrob,1,2500,500,1,-1,-1,NULL,NULL
5559,A_Kobold_Prisoner,1,50,7,1,-1,-1,NULL,NULL
5574,Tomer_Instogle,1,25,3,1,-1,-1,NULL,NULL
5577,Lyris_Moonbane,1320,8734,0,1,-1,-1,NULL,NULL
5578,Perkon_Malok,1320,8734,0,0,-1,-1,NULL,NULL
5580,Walnan,1012,6701,0,1,-1,-1,NULL,NULL
5581,Nusk_Treton,1320,8734,0,0,-1,-1,NULL,NULL
5585,Mheno_Raveus,1320,8734,0,0,-1,-1,NULL,NULL
5590,Galm_Snowdrift,0,0,0,0,-1,-1,NULL,NULL
5591,Fogl_Iceshard,0,0,0,0,-1,-1,NULL,NULL
5592,Riodhr_Torrentwind,0,0,0,0,-1,-1,NULL,NULL
5593,Eindride_Icestorm67,0,0,0,1,-1,-1,NULL,NULL
